Date,Time_water_potential,Plant_ID,Water_potential_negative_MPa,Water_potential_negative_bar,Water_potential_MPa,Water_potential_notes
4/8/2022,15:56,RS561,1.322,,-1.322,
4/8/2022,15:58,RS301,0.932,,-0.932,
4/8/2022,16:00,RS449,1,,-1,
4/8/2022,16:02,RS177,1.188,,-1.188,
4/8/2022,16:04,RS544,0.943,,-0.943,
4/8/2022,16:07,RS502,1.828,,-1.828,
4/8/2022,16:09,RS587,2.327,,-2.327,
4/8/2022,16:11,RS540,2.122,,-2.122,
4/8/2022,16:14,RS484,2.199,,-2.199,
4/8/2022,16:17,RS181,1.058,,-1.058,
4/8/2022,16:20,RS028,1.111,,-1.111,
3/23/2022,NA,RS242,Not measured,,,
3/23/2022,NA,RS438,Not measured,,,
3/23/2022,NA,RS329,Not measured,,,
3/23/2022,NA,RS049,Not measured,,,
3/23/2022,NA,RS110,Not measured,,,
3/23/2022,NA,RS376,Not measured,,,
3/23/2022,NA,RS376,Not measured,,,
3/23/2022,NA,RS267,Not measured,,,
3/23/2022,NA,RS511,Not measured,,,
3/23/2022,NA,RS424,Not measured,,,
3/23/2022,NA,RS209,Not measured,,,
3/23/2022,NA,RS403,Not measured,,,
3/23/2022,NA,RS144,Not measured,,,
3/23/2022,NA,RS506,Not measured,,,
3/23/2022,NA,RS312,Not measured,,,
3/23/2022,NA,RS595,Not measured,,,
